Name,Код цвета,Класс соединения,Красящее вещество,Добавки/примеси,Кремер ID,CSD ID
Ochre gold,#D69828,оксид,Гетит,,#40214,
Chrome Oxide Green,#55774b,оксид,Оксид хрома(III),,#44200,
Mars Brown,#b16342,оксид,Гематит,"кварц, CAS 6992-11-6",,
Egyptian Blue,#357ebd,соль,Купрориваит,,#10060,
Ultramarine rose,#e395c5,соль,Гаюин,Каолинит,#42605,
Smalt,#003399,оксид,Алюминат кобальта(II),кварц,#10000,
Naples Yellow,#FADA5E,соль,Биндгеймит,ангидрит,#43125,
Blu Cielo,#054af6,органический краситель,CAS 3317-67-7,"кальцит, гипс, ангидрит",,1129690
Rosso Magenta,#b11352,органический краситель,CAS 3089-17-6,кальцит,,
STUDIO bordeaux,#5C0120,органический краситель,CAS 6410-32-8,кальцит,#55450,
STUDIO dark blue,#000F89,органический краситель,CAS 147-14-8,кальцит,#55600,1133493
STUDIO dark green,#48B65F,органический краситель,CAS 1328-53-6,"CAS 6358-31-2, кальцит",#55800,2080220
STUDIO dark red,#EA3858,органический краситель,CAS 16043-40-6,"CAS 6410-32-8, кальцит",#55400,203604
STUDIO egg yolk,#ffc149,органический краситель,CAS 6358-31-2,"кальцит, гипс, ангидрит",#55125,1160484
STUDIO light green,#77B728,органический краситель,CAS 1328-53-6,"CAS 6358-31-2, кальцит",#55700,2080220
STUDIO light red,#de1e24,органический краситель,CAS 16043-40-6,кальцит,#55300,203604
STUDIO orange,#fb824f,органический краситель,CAS 3468-63-1,CAS 730-40-5,#55200,601924
STUDIO pink,#9f2245,органический краситель,CAS 16043-40-6,"кальцит, гипс, тальк",#55470,203604
STUDIO sky blue,#00437d,органический краситель,CAS 147-14-8,кальцит,#55500,1133493
STUDIO violet,#70538e,органический краситель,CAS 215247-95-3,"кальцит, гипс, ангидрит",#55900,
STUDIO yellow,#ffdd00,органический краситель,CAS 6358-31-2,кальцит,#55100,1160484
STUDIO yellow sun,#ffdd00,органический краситель,CAS 6358-31-2,"хромо-оловяно-титановый диоксид, диоксид титана, кальцит, тальк, кремний",#55140,1160484